År;Församlings-kod;Kommun;Församling;Summa, inkl. kyrkoavgift;Summa, exkl. kyrkoavgift;Kommunal-skatt;Landstings-skatt;Begravnings-avgift;Kyrkoavgift
2026;01 88;NORRTÄLJE;NÄRTUNA FÖRSAMLING;33.532;32.342;19.72;12.33;0.292;1.19
2026;01 88;NORRTÄLJE;RIALA FÖRSAMLING;33.402;32.342;19.72;12.33;0.292;1.06
2026;01 88;NORRTÄLJE;RIMBO FÖRSAMLING;33.532;32.342;19.72;12.33;0.292;1.19
2026;01 88;NORRTÄLJE;ROSLAGSBRO-VÄTÖ FÖRSAMLING;33.402;32.342;19.72;12.33;0.292;1.06
2026;01 88;NORRTÄLJE;RÅDMANSÖ FÖRSAMLING;33.402;32.342;19.72;12.33;0.292;1.06
2026;01 88;NORRTÄLJE;VÄDDÖ FÖRSAMLING;33.402;32.342;19.72;12.33;0.292;1.06
2026;01 91;SIGTUNA;HUSBY-ÄRLINGHUNDRA FÖRSAMLING;33.052;32.122;19.5;12.33;0.292;0.93
2026;01 91;SIGTUNA;NORRSUNDA FÖRSAMLING;33.052;32.122;19.5;12.33;0.292;0.93
2026;01 91;SIGTUNA;SIGTUNA FÖRSAMLING;33.242;32.122;19.5;12.33;0.292;1.12
2026;01 91;SIGTUNA;SKEPPTUNA FÖRSAMLING;33.052;32.122;19.5;12.33;0.292;0.93
2026;01 91;SIGTUNA;VALSTA FÖRSAMLING;33.052;32.122;19.5;12.33;0.292;0.93
2026;01 92;NYNÄSHAMN;NYNÄSHAMNS FÖRSAMLING;33.432;32.472;19.85;12.33;0.292;0.96
2026;01 92;NYNÄSHAMN;SORUNDA FÖRSAMLING;33.272;32.472;19.85;12.33;0.292;0.8
2026;01 92;NYNÄSHAMN;ÖSMO-TORÖ FÖRSAMLING;33.552;32.472;19.85;12.33;0.292;1.08
2026;03 05;HÅBO;HÄGGEBY FÖRSAMLING;34.712;33.592;21.59;11.71;0.292;1.12
2026;03 05;HÅBO;KALMAR-YTTERGRANS FÖRSAMLING;34.712;33.592;21.59;11.71;0.292;1.12
2026;03 05;HÅBO;SKOKLOSTERS FÖRSAMLING;34.712;33.592;21.59;11.71;0.292;1.12
2026;03 05;HÅBO;ÖVERGRANS FÖRSAMLING;34.712;33.592;21.59;11.71;0.292;1.12
2026;03 19;ÄLVKARLEBY;ÄLVKARLEBY-SKUTSKÄRS FÖRSAMLING;35.872;34.692;22.69;11.71;0.292;1.18
2026;03 30;KNIVSTA;ALSIKE FÖRSAMLING;33.942;32.912;20.91;11.71;0.292;1.03
2026;03 30;KNIVSTA;HUSBY-LÅNGHUNDRA FÖRSAMLING;33.942;32.912;20.91;11.71;0.292;1.03
2026;03 30;KNIVSTA;KNIVSTA FÖRSAMLING;33.942;32.912;20.91;11.71;0.292;1.03
2026;03 30;KNIVSTA;LAGGA FÖRSAMLING;33.942;32.912;20.91;11.71;0.292;1.03
2026;03 30;KNIVSTA;VASSUNDA FÖRSAMLING;33.942;32.912;20.91;11.71;0.292;1.03
2026;03 30;KNIVSTA;ÖSTUNA FÖRSAMLING;33.942;32.912;20.91;11.71;0.292;1.03
2026;03 31;HEBY;ENÅKERS FÖRSAMLING;35.802;34.502;22.5;11.71;0.292;1.3
2026;03 31;HEBY;HARBO FÖRSAMLING;35.822;34.502;22.5;11.71;0.292;1.32
2026;03 31;HEBY;HUDDUNGE FÖRSAMLING;35.802;34.502;22.5;11.71;0.292;1.3
2026;03 31;HEBY;NORA FÖRSAMLING;35.802;34.502;22.5;11.71;0.292;1.3
2026;03 31;HEBY;VITTINGE FÖRSAMLING;35.842;34.502;22.5;11.71;0.292;1.34
2026;03 31;HEBY;VÄSTERLÖVSTA FÖRSAMLING;35.802;34.502;22.5;11.71;0.292;1.3
2026;03 31;HEBY;ÖSTERVÅLA FÖRSAMLING;35.822;34.502;22.5;11.71;0.292;1.32
2026;03 60;TIERP;HÅLLNÄS-ÖSTERLÖVSTA FÖRSAMLING;34.712;33.292;21.29;11.71;0.292;1.42
2026;03 60;TIERP;TIERP-SÖDERFORS FÖRSAMLING;34.772;33.292;21.29;11.71;0.292;1.48
2026;03 60;TIERP;TOLFTA FÖRSAMLING;34.712;33.292;21.29;11.71;0.292;1.42
2026;03 60;TIERP;VENDEL-TEGELSMORA FÖRSAMLING;34.842;33.292;21.29;11.71;0.292;1.55
2026;03 60;TIERP;VÄSTLANDS FÖRSAMLING;34.712;33.292;21.29;11.71;0.292;1.42
2026;03 80;UPPSALA;ALMUNGE FÖRSAMLING;34.382;33.142;21.14;11.71;0.292;1.24
2026;03 80;UPPSALA;BALINGSTA FÖRSAMLING;34.342;33.142;21.14;11.71;0.292;1.2
